ppi_item,curr_month,curr_year,lower,mid,upper,pred_year
Farm-level cattle,7,2017.0,-17.3,1.5,25.2,2018
Farm-level cattle,8,2017.0,-20.5,-1.8,21.1,2018
Farm-level cattle,9,2017.0,-23.0,-5.9,16.0,2018
Farm-level cattle,10,2017.0,-24.8,-8.3,12.4,2018
Farm-level cattle,11,2017.0,-22.4,-6.1,13.4,2018
Farm-level cattle,12,2017.0,-18.2,-2.0,17.0,2018
Farm-level cattle,1,2018.0,-16.8,-2.2,15.5,2018
Farm-level cattle,2,2018.0,-15.4,-2.2,13.5,2018
Farm-level cattle,3,2018.0,-7.0,5.4,20.5,2018
Farm-level cattle,4,2018.0,-5.1,5.7,18.4,2018
Farm-level cattle,5,2018.0,-8.2,0.5,10.8,2018
Farm-level cattle,6,2018.0,-8.5,-1.4,6.7,2018
Farm-level cattle,7,2018.0,-8.6,-3.2,3.1,2018
Farm-level cattle,8,2018.0,-7.2,-2.9,2.0,2018
Farm-level cattle,9,2018.0,-6.9,-3.8,-0.2,2018
Farm-level cattle,10,2018.0,-5.9,-3.7,-1.3,2018
Farm-level cattle,11,2018.0,-5.3,-3.9,-2.5,2018
Farm-level cattle,12,2018.0,-4.5,-3.9,-3.2,2018
Wholesale beef,7,2017.0,-15.3,8.8,39.6,2018
Wholesale beef,8,2017.0,-18.0,0.2,23.4,2018
Wholesale beef,9,2017.0,-17.4,0.8,23.5,2018
Wholesale beef,10,2017.0,-19.7,-2.6,18.2,2018
Wholesale beef,11,2017.0,-19.8,-3.4,16.5,2018
Wholesale beef,12,2017.0,-17.8,-2.6,15.5,2018
Wholesale beef,1,2018.0,-19.8,-5.6,11.2,2018
Wholesale beef,2,2018.0,-16.1,-3.5,11.5,2018
Wholesale beef,3,2018.0,-13.2,-2.0,11.4,2018
Wholesale beef,4,2018.0,-6.5,3.9,16.3,2018
Wholesale beef,5,2018.0,-7.0,1.6,11.7,2018
Wholesale beef,6,2018.0,-0.9,6.9,16.1,2018
Wholesale beef,7,2018.0,0.1,6.4,13.8,2018
Wholesale beef,8,2018.0,-2.4,2.2,7.4,2018
Wholesale beef,9,2018.0,-2.1,1.1,4.9,2018
Wholesale beef,10,2018.0,-1.0,1.3,3.8,2018
Wholesale beef,11,2018.0,-0.1,1.3,2.8,2018
Wholesale beef,12,2018.0,0.8,1.5,2.2,2018
Wholesale pork,7,2017.0,-18.1,2.8,29.0,2018
Wholesale pork,8,2017.0,-15.0,5.9,31.4,2018
Wholesale pork,9,2017.0,-15.1,4.9,30.0,2018
Wholesale pork,10,2017.0,-17.0,2.1,25.8,2018
Wholesale pork,11,2017.0,-20.3,-2.7,19.0,2018
Wholesale pork,12,2017.0,-19.5,-2.7,17.3,2018
Wholesale pork,1,2018.0,-17.3,-1.8,17.8,2018
Wholesale pork,2,2018.0,-14.8,-1.0,16.0,2018
Wholesale pork,3,2018.0,-16.6,-5.1,8.9,2018
Wholesale pork,4,2018.0,-15.7,-5.7,6.4,2018
Wholesale pork,5,2018.0,-15.8,-7.5,2.5,2018
Wholesale pork,6,2018.0,-12.5,-5.5,2.7,2018
Wholesale pork,7,2018.0,-11.4,-5.6,1.2,2018
Wholesale pork,8,2018.0,-9.3,-4.6,0.8,2018
Wholesale pork,9,2018.0,-9.5,-6.3,-2.6,2018
Wholesale pork,10,2018.0,-8.5,-6.2,-3.7,2018
Wholesale pork,11,2018.0,-7.0,-5.6,-4.1,2018
Wholesale pork,12,2018.0,-6.8,-6.2,-5.5,2018
Wholesale poultry,7,2017.0,-10.0,2.0,15.6,2018
Wholesale poultry,8,2017.0,-9.6,2.0,15.1,2018
Wholesale poultry,9,2017.0,-10.5,0.8,13.2,2018
Wholesale poultry,10,2017.0,-12.2,-1.5,10.7,2018
Wholesale poultry,11,2017.0,-12.3,-2.2,9.2,2018
Wholesale poultry,12,2017.0,-19.4,-10.2,0.3,2018
Wholesale poultry,1,2018.0,-14.8,-7.0,2.0,2018
Wholesale poultry,2,2018.0,-13.6,-6.6,1.2,2018
Wholesale poultry,3,2018.0,-11.3,-4.9,2.0,2018
Wholesale poultry,4,2018.0,-10.8,-5.4,0.4,2018
Wholesale poultry,5,2018.0,-7.4,-2.7,2.5,2018
Wholesale poultry,6,2018.0,-7.1,-3.7,0.0,2018
Wholesale poultry,7,2018.0,-8.9,-5.8,-2.6,2018
Wholesale poultry,8,2018.0,-7.3,-5.0,-2.5,2018
Wholesale poultry,9,2018.0,-7.6,-5.8,-4.1,2018
Wholesale poultry,10,2018.0,-7.6,-6.5,-5.4,2018
Wholesale poultry,11,2018.0,-7.1,-6.5,-5.8,2018
Wholesale poultry,12,2018.0,-7.2,-6.9,-6.6,2018
Farm-level eggs,7,2017.0,-48.4,0.3,98.0,2018
Farm-level eggs,8,2017.0,-46.0,3.9,104.2,2018
Farm-level eggs,9,2017.0,-43.8,7.2,107.9,2018
Farm-level eggs,10,2017.0,-34.4,21.4,131.5,2018
Farm-level eggs,11,2017.0,-26.1,37.3,161.5,2018
Farm-level eggs,12,2017.0,-15.9,54.1,190.0,2018
Farm-level eggs,1,2018.0,-3.9,73.2,232.9,2018
Farm-level eggs,2,2018.0,-22.5,27.7,125.6,2018
Farm-level eggs,3,2018.0,-8.6,41.2,133.9,2018
Farm-level eggs,4,2018.0,23.5,79.8,180.9,2018
Farm-level eggs,5,2018.0,21.1,66.2,145.3,2018
Farm-level eggs,6,2018.0,8.2,37.0,87.0,2018
Farm-level eggs,7,2018.0,5.7,26.6,61.6,2018
Farm-level eggs,8,2018.0,17.0,36.5,67.6,2018
Farm-level eggs,9,2018.0,20.1,34.6,57.0,2018
Farm-level eggs,10,2018.0,20.5,29.8,44.2,2018
Farm-level eggs,11,2018.0,24.0,30.1,39.2,2018
Farm-level eggs,12,2018.0,29.3,32.7,37.9,2018
Farm-level milk,7,2017.0,-32.6,1.0,51.4,2018
Farm-level milk,8,2017.0,-34.0,-1.3,48.4,2018
Farm-level milk,9,2017.0,-28.3,5.9,57.9,2018
Farm-level milk,10,2017.0,-32.4,-1.1,44.3,2018
Farm-level milk,11,2017.0,-27.3,3.3,48.2,2018
Farm-level milk,12,2017.0,-25.0,3.8,45.2,2018
Farm-level milk,1,2018.0,-31.1,-7.7,25.7,2018
Farm-level milk,2,2018.0,-31.1,-11.5,17.3,2018
Farm-level milk,3,2018.0,-29.9,-13.1,10.1,2018
Farm-level milk,4,2018.0,-23.6,-7.7,14.3,2018
Farm-level milk,5,2018.0,-23.1,-10.3,6.9,2018
Farm-level milk,6,2018.0,-19.1,-8.0,6.7,2018
Farm-level milk,7,2018.0,-17.7,-9.0,2.1,2018
Farm-level milk,8,2018.0,-19.5,-13.5,-6.1,2018
Farm-level milk,9,2018.0,-13.1,-8.0,-1.9,2018
Farm-level milk,10,2018.0,-11.0,-7.8,-3.9,2018
Farm-level milk,11,2018.0,-9.1,-7.3,-5.3,2018
Farm-level milk,12,2018.0,-8.8,-8.2,-7.5,2018
Wholesale dairy,7,2017.0,-14.6,1.5,20.3,2018
Wholesale dairy,8,2017.0,-15.4,0.3,18.9,2018
Wholesale dairy,9,2017.0,-13.3,2.2,20.8,2018
Wholesale dairy,10,2017.0,-14.5,0.1,17.6,2018
Wholesale dairy,11,2017.0,-13.2,0.7,17.0,2018
Wholesale dairy,12,2017.0,-12.6,0.1,15.3,2018
Wholesale dairy,1,2018.0,-13.4,-2.0,11.2,2018
Wholesale dairy,2,2018.0,-13.1,-3.1,7.9,2018
Wholesale dairy,3,2018.0,-13.2,-4.9,4.6,2018
Wholesale dairy,4,2018.0,-10.0,-2.9,5.4,2018
Wholesale dairy,5,2018.0,-9.4,-3.4,3.5,2018
Wholesale dairy,6,2018.0,-6.6,-1.6,4.1,2018
Wholesale dairy,7,2018.0,-6.1,-2.3,2.1,2018
Wholesale dairy,8,2018.0,-5.9,-3.0,0.1,2018
Wholesale dairy,9,2018.0,-4.2,-2.0,0.2,2018
Wholesale dairy,10,2018.0,-3.6,-2.3,-0.9,2018
Wholesale dairy,11,2018.0,-2.8,-2.1,-1.3,2018
Wholesale dairy,12,2018.0,-2.6,-2.4,-2.1,2018
Farm-level soybeans,7,2017.0,-36.6,-2.4,51.1,2018
Farm-level soybeans,8,2017.0,-32.4,2.8,57.2,2018
Farm-level soybeans,9,2017.0,-39.5,-3.1,55.1,2018
Farm-level soybeans,10,2017.0,-38.1,-3.7,54.8,2018
Farm-level soybeans,11,2017.0,-35.2,-1.0,52.2,2018
Farm-level soybeans,12,2017.0,-33.0,-0.6,48.1,2018
Farm-level soybeans,1,2018.0,-26.8,0.8,40.2,2018
Farm-level soybeans,2,2018.0,-24.9,-1.2,32.2,2018
Farm-level soybeans,3,2018.0,-17.9,4.0,34.9,2018
Farm-level soybeans,4,2018.0,-13.2,6.2,33.2,2018
Farm-level soybeans,5,2018.0,-9.8,7.1,29.7,2018
Farm-level soybeans,6,2018.0,-8.9,4.8,22.7,2018
Farm-level soybeans,7,2018.0,-9.4,1.0,14.3,2018
Farm-level soybeans,8,2018.0,-11.1,-3.9,5.6,2018
Farm-level soybeans,9,2018.0,-9.4,-4.0,2.7,2018
Farm-level soybeans,10,2018.0,-9.8,-6.4,-2.1,2018
Farm-level soybeans,11,2018.0,-7.8,-5.5,-3.0,2018
Farm-level soybeans,12,2018.0,-6.2,-5.2,-3.9,2018
Wholesale fats and oils,7,2017.0,-24.7,0.1,33.7,2018
Wholesale fats and oils,8,2017.0,-22.3,1.0,33.0,2018
Wholesale fats and oils,9,2017.0,-23.6,-2.2,27.0,2018
Wholesale fats and oils,10,2017.0,-20.8,0.7,28.1,2018
Wholesale fats and oils,11,2017.0,-18.0,1.5,27.5,2018
Wholesale fats and oils,12,2017.0,-18.2,-0.9,21.3,2018
Wholesale fats and oils,1,2018.0,-17.3,-1.5,18.8,2018
Wholesale fats and oils,2,2018.0,-12.7,1.2,18.8,2018
Wholesale fats and oils,3,2018.0,-11.4,0.4,14.7,2018
Wholesale fats and oils,4,2018.0,-9.7,0.2,11.7,2018
Wholesale fats and oils,5,2018.0,-8.5,-0.7,8.5,2018
Wholesale fats and oils,6,2018.0,-10.1,-4.2,2.6,2018
Wholesale fats and oils,7,2018.0,-7.0,-2.3,3.0,2018
Wholesale fats and oils,8,2018.0,-6.1,-2.7,1.0,2018
Wholesale fats and oils,9,2018.0,-5.2,-2.9,-0.3,2018
Wholesale fats and oils,10,2018.0,-4.4,-2.9,-1.4,2018
Wholesale fats and oils,11,2018.0,-3.4,-2.6,-1.8,2018
Wholesale fats and oils,12,2018.0,-3.0,-2.7,-2.3,2018
Farm-level fruits,7,2017.0,-27.8,-1.0,37.0,2018
Farm-level fruits,8,2017.0,-26.7,-0.9,32.9,2018
Farm-level fruits,9,2017.0,-27.7,-3.0,30.0,2018
Farm-level fruits,10,2017.0,-23.7,1.4,34.1,2018
Farm-level fruits,11,2017.0,-24.9,-1.9,28.4,2018
Farm-level fruits,12,2017.0,-19.5,3.8,36.2,2018
Farm-level fruits,1,2018.0,-18.8,3.4,32.7,2018
Farm-level fruits,2,2018.0,-14.9,4.9,30.4,2018
Farm-level fruits,3,2018.0,-14.9,2.0,23.5,2018
Farm-level fruits,4,2018.0,-17.5,-4.0,12.7,2018
Farm-level fruits,5,2018.0,-16.2,-4.8,9.7,2018
Farm-level fruits,6,2018.0,-11.4,-1.3,11.1,2018
Farm-level fruits,7,2018.0,-8.8,-0.4,10.0,2018
Farm-level fruits,8,2018.0,-5.8,-0.1,6.7,2018
Farm-level fruits,9,2018.0,-7.0,-2.6,2.4,2018
Farm-level fruits,10,2018.0,-5.1,-1.8,1.8,2018
Farm-level fruits,11,2018.0,-4.9,-3.0,-0.8,2018
Farm-level fruits,12,2018.0,-4.4,-3.4,-2.3,2018
Farm-level vegetables,7,2017.0,-19.3,-3.1,16.3,2018
Farm-level vegetables,8,2017.0,-18.5,-2.6,16.4,2018
Farm-level vegetables,9,2017.0,-18.6,-2.5,16.8,2018
Farm-level vegetables,10,2017.0,-18.9,-2.5,16.3,2018
Farm-level vegetables,11,2017.0,-18.1,-2.5,16.6,2018
Farm-level vegetables,12,2017.0,-18.3,-2.0,17.2,2018
Farm-level vegetables,1,2018.0,-18.1,-3.0,14.7,2018
Farm-level vegetables,2,2018.0,-15.4,-1.4,15.7,2018
Farm-level vegetables,3,2018.0,-20.1,-8.2,6.7,2018
Farm-level vegetables,4,2018.0,-15.2,-3.7,9.8,2018
Farm-level vegetables,5,2018.0,-17.4,-7.2,4.6,2018
Farm-level vegetables,6,2018.0,-14.1,-4.9,6.3,2018
Farm-level vegetables,7,2018.0,-15.1,-7.2,2.1,2018
Farm-level vegetables,8,2018.0,-15.9,-9.3,-1.2,2018
Farm-level vegetables,9,2018.0,-14.2,-8.6,-1.9,2018
Farm-level vegetables,10,2018.0,-14.4,-10.0,-4.6,2018
Farm-level vegetables,11,2018.0,-12.5,-9.4,-5.5,2018
Farm-level vegetables,12,2018.0,-7.7,-5.7,-3.2,2018
Farm-level wheat,7,2017.0,-28.2,4.2,51.8,2018
Farm-level wheat,8,2017.0,-21.2,14.8,68.3,2018
Farm-level wheat,9,2017.0,-31.5,1.6,49.6,2018
Farm-level wheat,10,2017.0,-31.3,-0.3,44.6,2018
Farm-level wheat,11,2017.0,-29.7,-0.7,41.3,2018
Farm-level wheat,12,2017.0,-27.3,1.1,41.6,2018
Farm-level wheat,1,2018.0,-28.3,-2.7,34.9,2018
Farm-level wheat,2,2018.0,-20.2,3.5,37.8,2018
Farm-level wheat,3,2018.0,-14.1,8.5,39.4,2018
Farm-level wheat,4,2018.0,-6.6,14.1,42.2,2018
Farm-level wheat,5,2018.0,-2.0,15.9,40.6,2018
Farm-level wheat,6,2018.0,-0.5,14.1,33.3,2018
Farm-level wheat,7,2018.0,6.0,19.2,36.0,2018
Farm-level wheat,8,2018.0,4.2,13.5,25.1,2018
Farm-level wheat,9,2018.0,9.4,16.6,25.4,2018
Farm-level wheat,10,2018.0,9.1,13.8,19.4,2018
Farm-level wheat,11,2018.0,11.4,14.3,17.7,2018
Farm-level wheat,12,2018.0,12.6,13.9,15.4,2018
Wholesale wheat flour,7,2017.0,-17.3,2.1,26.9,2018
Wholesale wheat flour,8,2017.0,-12.9,7.0,32.2,2018
Wholesale wheat flour,9,2017.0,-17.6,2.1,26.0,2018
Wholesale wheat flour,10,2017.0,-17.4,0.9,23.2,2018
Wholesale wheat flour,11,2017.0,-17.1,0.4,22.0,2018
Wholesale wheat flour,12,2017.0,-15.0,2.0,23.2,2018
Wholesale wheat flour,1,2018.0,-15.6,0.1,19.8,2018
Wholesale wheat flour,2,2018.0,-13.1,1.0,17.9,2018
Wholesale wheat flour,3,2018.0,-12.2,0.2,14.6,2018
Wholesale wheat flour,4,2018.0,-9.4,1.3,14.1,2018
Wholesale wheat flour,5,2018.0,-7.4,1.5,11.7,2018
Wholesale wheat flour,6,2018.0,-5.8,1.7,10.5,2018
Wholesale wheat flour,7,2018.0,-4.2,2.0,9.0,2018
Wholesale wheat flour,8,2018.0,-3.9,0.8,6.2,2018
Wholesale wheat flour,9,2018.0,-2.1,1.5,5.5,2018
Wholesale wheat flour,10,2018.0,-1.7,0.7,3.4,2018
Wholesale wheat flour,11,2018.0,-0.6,0.9,2.5,2018
Wholesale wheat flour,12,2018.0,0.2,0.9,1.7,2018
